name,genre,type,sum
potemayo special,"comedy, school, seinen",special,"potemayo special comedy, school, seinen special"
s.cry.e,"action, adventure, drama, sci-fi, super power",tv,"s.cry.e action, adventure, drama, sci-fi, super power tv"
saber marionette ,"action, adventure, comedy, drama, harem, martial arts, mecha, romance, sci-fi, shounen",tv,"saber marionette  action, adventure, comedy, drama, harem, martial arts, mecha, romance, sci-fi, shounen tv"
saint seiya: soushuuhe,"adventure, fantasy, sci-fi, shounen",special,"saint seiya: soushuuhe adventure, fantasy, sci-fi, shounen special"
sayonara ginga tetsudou 999: andromeda shuuchakuek,"adventure, drama, sci-fi, space",movie,"sayonara ginga tetsudou 999: andromeda shuuchakuek adventure, drama, sci-fi, space movie"
shikabane hime: kur,"action, horror",tv,"shikabane hime: kur action, horror tv"
shin taketori monogatari: 1000-nen joo,"drama, mystery, sci-fi",tv,"shin taketori monogatari: 1000-nen joo drama, mystery, sci-fi tv"
shoukoushi cedi,"drama, shoujo, slice of life",tv,"shoukoushi cedi drama, shoujo, slice of life tv"
shuangsheng lingta,"mystery, psychological",ona,"shuangsheng lingta mystery, psychological ona"
steambo,"action, adventure, drama, historical, military, sci-fi",movie,"steambo action, adventure, drama, historical, military, sci-fi movie"
steins;gate: soumei eichi no cognitive computin,comedy,ona,steins;gate: soumei eichi no cognitive computin comedy ona
strawberry pani,"drama, romance, school, shoujo ai",tv,"strawberry pani drama, romance, school, shoujo ai tv"
tiger mask nise,"action, drama, sports",tv,"tiger mask nise action, drama, sports tv"
yes! precure 5 gogo! movie: okashi no kuni no happy birthda,"fantasy, kids, magic, romance, shoujo, super power",movie,"yes! precure 5 gogo! movie: okashi no kuni no happy birthda fantasy, kids, magic, romance, shoujo, super power movie"
yowamushi pedal: spare bik,"comedy, drama, shounen, sports",movie,"yowamushi pedal: spare bik comedy, drama, shounen, sports movie"
yuyushik,"comedy, school, seinen, slice of life",tv,"yuyushik comedy, school, seinen, slice of life tv"
zoids shinseiki/zer,"adventure, comedy, mecha, sci-fi, shounen, sports",tv,"zoids shinseiki/zer adventure, comedy, mecha, sci-fi, shounen, sports tv"
beelzebub special,"action, comedy, demons, school, shounen, supernatural",special,"beelzebub special action, comedy, demons, school, shounen, supernatural special"
bishoujo senshi sailor moon memoria,"demons, magic, romance, shoujo",ova,"bishoujo senshi sailor moon memoria demons, magic, romance, shoujo ova"
black bulle,"action, mystery, sci-fi, seinen",tv,"black bulle action, mystery, sci-fi, seinen tv"
brigadoon: marin to mela,"adventure, comedy, drama, mecha, sci-fi",tv,"brigadoon: marin to mela adventure, comedy, drama, mecha, sci-fi tv"
c: the money of soul and possibility contro,"action, mystery, super power, thriller",tv,"c: the money of soul and possibility contro action, mystery, super power, thriller tv"
doraemon: obaachan no omoid,"comedy, fantasy, kids, sci-fi, shounen",movie,"doraemon: obaachan no omoid comedy, fantasy, kids, sci-fi, shounen movie"
el hazard: the magnificent worl,"adventure, comedy, fantasy, romance",ova,"el hazard: the magnificent worl adventure, comedy, fantasy, romance ova"
erementar gera,"adventure, comedy, fantasy, magic, romance, super power",tv,"erementar gera adventure, comedy, fantasy, magic, romance, super power tv"
fate/stay night: unlimited blade works 2nd season - sunny da,"action, fantasy, magic, shounen, supernatural",special,"fate/stay night: unlimited blade works 2nd season - sunny da action, fantasy, magic, shounen, supernatural special"
galaxy angel ,"comedy, sci-fi",tv,"galaxy angel  comedy, sci-fi tv"
hayate no gotoku!!: atsu ga natsuize - mizugi-hen,"action, comedy, harem, parody, romance",ova,"hayate no gotoku!!: atsu ga natsuize - mizugi-hen action, comedy, harem, parody, romance ova"
love hina christmas special: silent ev,"comedy, romance, slice of life",special,"love hina christmas special: silent ev comedy, romance, slice of life special"
maoyuu maou yuush,"adventure, demons, fantasy, historical, romance",tv,"maoyuu maou yuush adventure, demons, fantasy, historical, romance tv"
minami-ke natsuyasum,"comedy, slice of life",ova,"minami-ke natsuyasum comedy, slice of life ova"
nabari no o,"action, comedy, drama, fantasy, shounen, supernatural",tv,"nabari no o action, comedy, drama, fantasy, shounen, supernatural tv"
needles,"action, comedy, ecchi, sci-fi, super power",tv,"needles action, comedy, ecchi, sci-fi, super power tv"
one piece movie 5: norowareta seike,"action, adventure, comedy, fantasy, shounen, super power",movie,"one piece movie 5: norowareta seike action, adventure, comedy, fantasy, shounen, super power movie"
one piece movie 8: episode of alabasta - sabaku no oujo to kaizoku-tach,"action, adventure, fantasy, shounen",movie,"one piece movie 8: episode of alabasta - sabaku no oujo to kaizoku-tach action, adventure, fantasy, shounen movie"
one piece: umi no heso no daibouken-he,"action, adventure, comedy, fantasy, shounen, super power",special,"one piece: umi no heso no daibouken-he action, adventure, comedy, fantasy, shounen, super power special"
rekka no hono,"action, adventure, martial arts, shounen, super power",tv,"rekka no hono action, adventure, martial arts, shounen, super power tv"
rozen maiden (2013,"action, comedy, drama, magic, seinen",tv,"rozen maiden (2013 action, comedy, drama, magic, seinen tv"
soukou kihei votoms: pailsen file,"mecha, military, sci-fi, space",ova,"soukou kihei votoms: pailsen file mecha, military, sci-fi, space ova"
soukyuu no fafner: dead aggressor - exodu,"action, drama, mecha, military, sci-fi",tv,"soukyuu no fafner: dead aggressor - exodu action, drama, mecha, military, sci-fi tv"
strike the bloo,"action, ecchi, fantasy, harem, school, shounen, supernatural, vampire",tv,"strike the bloo action, ecchi, fantasy, harem, school, shounen, supernatural, vampire tv"
strike the blood: valkyria no oukoku-he,"action, ecchi, fantasy, school, shounen, supernatural, vampire",ova,"strike the blood: valkyria no oukoku-he action, ecchi, fantasy, school, shounen, supernatural, vampire ova"
tales of zestiria the x: saiyaku no jida,"action, fantasy",special,"tales of zestiria the x: saiyaku no jida action, fantasy special"
tari tar,"music, school, slice of life",tv,"tari tar music, school, slice of life tv"
tegamibachi gakue,comedy,special,tegamibachi gakue comedy special
trinity bloo,"action, supernatural, vampire",tv,"trinity bloo action, supernatural, vampire tv"
air gear specia,"shounen, sports",special,"air gear specia shounen, sports special"
ao no exorcist: kuro no ied,"action, demons, fantasy, shounen, supernatural",special,"ao no exorcist: kuro no ied action, demons, fantasy, shounen, supernatural special"
break blad,"action, fantasy, mecha, military, shounen",tv,"break blad action, fantasy, mecha, military, shounen tv"
damekko doubuts,comedy,tv,damekko doubuts comedy tv
detective conan ova 02: 16 suspect,"adventure, comedy, mystery, police, shounen",ova,"detective conan ova 02: 16 suspect adventure, comedy, mystery, police, shounen ova"
doraemon movie 09: nobita no parallel saiyuuk,"adventure, fantasy, kids, sci-fi, shounen",movie,"doraemon movie 09: nobita no parallel saiyuuk adventure, fantasy, kids, sci-fi, shounen movie"
doraemon movie 29: shin nobita no uchuu kaitakush,"adventure, comedy, fantasy, kids",movie,"doraemon movie 29: shin nobita no uchuu kaitakush adventure, comedy, fantasy, kids movie"
ef: a tale of melodies. - prologu,music,special,ef: a tale of melodies. - prologu music special
ganbarist! shu,"comedy, shounen, sports",tv,"ganbarist! shu comedy, shounen, sports tv"
ginga tetsudou no yor,"drama, fantasy, historical, kids, mystery",movie,"ginga tetsudou no yor drama, fantasy, historical, kids, mystery movie"
haiyore! nyaruko-san ,"comedy, parody, sci-fi",tv,"haiyore! nyaruko-san  comedy, parody, sci-fi tv"
himouto! umaru-chan: umaru-chan mou ikkai,"comedy, school, seinen, slice of life",ova,"himouto! umaru-chan: umaru-chan mou ikkai comedy, school, seinen, slice of life ova"
hori-san to miyamura-ku,"comedy, romance, school, shounen",ova,"hori-san to miyamura-ku comedy, romance, school, shounen ova"
hyouka: motsubeki mono w,slice of life,ova,hyouka: motsubeki mono w slice of life ova
kakumeiki valvrave 2nd seaso,"action, mecha, space",tv,"kakumeiki valvrave 2nd seaso action, mecha, space tv"
kannag,"comedy, school, shounen, supernatural",tv,"kannag comedy, school, shounen, supernatural tv"
kekkai sensen: ousama no restaurant no ousam,"action, fantasy, shounen, super power, supernatural, vampire",ova,"kekkai sensen: ousama no restaurant no ousam action, fantasy, shounen, super power, supernatural, vampire ova"
kib,"adventure, fantasy, shounen",tv,"kib adventure, fantasy, shounen tv"
koi ni naritai aquariu,music,music,koi ni naritai aquariu music music
mobile suit gundam ,"action, adventure, drama, mecha, military, sci-fi, space",movie,"mobile suit gundam  action, adventure, drama, mecha, military, sci-fi, space movie"
nagasarete airanto,"comedy, ecchi, fantasy, harem, romance",tv,"nagasarete airanto comedy, ecchi, fantasy, harem, romance tv"
naruto: shippuuden movie ,"action, adventure, comedy, fantasy, shounen",movie,"naruto: shippuuden movie  action, adventure, comedy, fantasy, shounen movie"
naruto: shippuuden movie 2 - kizun,"action, martial arts, shounen, supernatural",movie,"naruto: shippuuden movie 2 - kizun action, martial arts, shounen, supernatural movie"
one piece: oounabara ni hirake! dekkai dekkai chichi no yume,"action, adventure, comedy, fantasy, shounen, super power",special,"one piece: oounabara ni hirake! dekkai dekkai chichi no yume action, adventure, comedy, fantasy, shounen, super power special"
ore no imouto ga konnani kawaii wake ga nai,"comedy, seinen, slice of life",tv,"ore no imouto ga konnani kawaii wake ga nai comedy, seinen, slice of life tv"
osea,"adventure, drama",movie,"osea adventure, drama movie"
ou dorobou jing in seventh heave,"adventure, comedy, fantasy, psychological, shounen",ova,"ou dorobou jing in seventh heave adventure, comedy, fantasy, psychological, shounen ova"
peace maker kurogan,"action, comedy, historical, samurai, shounen",tv,"peace maker kurogan action, comedy, historical, samurai, shounen tv"
pokemo,"action, adventure, comedy, fantasy, kids",tv,"pokemo action, adventure, comedy, fantasy, kids tv"
robot carniva,"fantasy, sci-fi",ova,"robot carniva fantasy, sci-fi ova"
robotics;note,"drama, mystery, school, sci-fi",tv,"robotics;note drama, mystery, school, sci-fi tv"
rurouni kenshin: special technique,"action, comedy, samurai",special,"rurouni kenshin: special technique action, comedy, samurai special"
shounen mai,"comedy, shoujo, slice of life",tv,"shounen mai comedy, shoujo, slice of life tv"
slayers excellen,"adventure, comedy, demons, fantasy, magic, shounen, supernatural",ova,"slayers excellen adventure, comedy, demons, fantasy, magic, shounen, supernatural ova"
strike witches ,"action, ecchi, magic, military, sci-fi",tv,"strike witches  action, ecchi, magic, military, sci-fi tv"
"tamayura: hitotose - attakai kaze no omoide, nanod","comedy, drama, slice of life",special,"tamayura: hitotose - attakai kaze no omoide, nanod comedy, drama, slice of life special"
tekken chinm,"action, adventure, historical, martial arts, shounen",tv,"tekken chinm action, adventure, historical, martial arts, shounen tv"
tenkuu senki shurat,"action, fantasy, magic, shounen",tv,"tenkuu senki shurat action, fantasy, magic, shounen tv"
tobe! isam,"action, adventure, comedy, romance, shounen",tv,"tobe! isam action, adventure, comedy, romance, shounen tv"
trinity seve,"action, comedy, ecchi, fantasy, harem, magic, romance, school, shounen, supernatural",tv,"trinity seve action, comedy, ecchi, fantasy, harem, magic, romance, school, shounen, supernatural tv"
unic,"adventure, fantasy, kids",movie,"unic adventure, fantasy, kids movie"
uragiri wa boku no namae wo shitteir,"adventure, drama, fantasy, shoujo, shounen ai",tv,"uragiri wa boku no namae wo shitteir adventure, drama, fantasy, shoujo, shounen ai tv"
ansatsu kyoushitsu (tv): deai no jika,"action, comedy, school, shounen",special,"ansatsu kyoushitsu (tv): deai no jika action, comedy, school, shounen special"
biohazard: damnatio,"action, horror, sci-fi",movie,"biohazard: damnatio action, horror, sci-fi movie"
black jack: futari no kuroi ish,drama,movie,black jack: futari no kuroi ish drama movie
cheonnyeon-yeowoo yeowoob,"drama, fantasy, sci-fi",movie,"cheonnyeon-yeowoo yeowoob drama, fantasy, sci-fi movie"
detroit metal city: birth of the metal devi,"comedy, music, parody, romance",special,"detroit metal city: birth of the metal devi comedy, music, parody, romance special"
digimon xros wars: aku no death general to nanatsu no oukok,"action, adventure, comedy, fantasy, shounen",tv,"digimon xros wars: aku no death general to nanatsu no oukok action, adventure, comedy, fantasy, shounen tv"
dokidoki densetsu: mahoujin guru gur,"adventure, comedy, fantasy, magic, shounen",tv,"dokidoki densetsu: mahoujin guru gur adventure, comedy, fantasy, magic, shounen tv"
doraemon movie 11: nobita to animal plane,"adventure, comedy, fantasy, kids, sci-fi, shounen",movie,"doraemon movie 11: nobita to animal plane adventure, comedy, fantasy, kids, sci-fi, shounen movie"
doraemon movie 13: nobita to kumo no oukok,"adventure, comedy",movie,"doraemon movie 13: nobita to kumo no oukok adventure, comedy movie"
doraemon movie 34: shin nobita no daimakyou - peko to 5-nin no tankenta,"adventure, comedy, fantasy, kids",movie,"doraemon movie 34: shin nobita no daimakyou - peko to 5-nin no tankenta adventure, comedy, fantasy, kids movie"
hanayamat,"comedy, school, seinen, slice of life",tv,"hanayamat comedy, school, seinen, slice of life tv"
heisei tanuki gassen ponpok,kids,movie,heisei tanuki gassen ponpok kids movie
hibike! euphonium movie: kitauji koukou suisougaku-bu e youkos,"music, school",movie,"hibike! euphonium movie: kitauji koukou suisougaku-bu e youkos music, school movie"
himitsu: the revelatio,"mystery, police, psychological, sci-fi, shoujo",tv,"himitsu: the revelatio mystery, police, psychological, sci-fi, shoujo tv"
ikoku meiro no croisée specia,"historical, seinen, slice of life",special,"ikoku meiro no croisée specia historical, seinen, slice of life special"
kami nomi zo shiru sekai: 4-nin to ido,"comedy, music, shounen, supernatural",ova,"kami nomi zo shiru sekai: 4-nin to ido comedy, music, shounen, supernatural ova"
kimi ni todoke 2nd season special,"comedy, romance, shoujo",special,"kimi ni todoke 2nd season special comedy, romance, shoujo special"
kindaichi shounen no jikenbo return,"mystery, shounen",tv,"kindaichi shounen no jikenbo return mystery, shounen tv"
kuroko no basket: oshaberi shiyokk,"comedy, school, shounen, sports",special,"kuroko no basket: oshaberi shiyokk comedy, school, shounen, sports special"
matantei loki ragnaro,"comedy, magic, mystery, shounen, supernatural",tv,"matantei loki ragnaro comedy, magic, mystery, shounen, supernatural tv"
mä,"action, adventure, comedy, fantasy, shounen",tv,"mä action, adventure, comedy, fantasy, shounen tv"
mobile suit gundam seed destiny special editio,"action, drama, mecha, military, romance, sci-fi, space",special,"mobile suit gundam seed destiny special editio action, drama, mecha, military, romance, sci-fi, space special"
onegai☆teacher: himitsu na futar,"comedy, ecchi, romance, sci-fi",ova,"onegai☆teacher: himitsu na futar comedy, ecchi, romance, sci-fi ova"
"ore no nounai sentakushi ga, gakuen love comedy wo zenryoku de jama shiteiru ov","comedy, romance, school",ova,"ore no nounai sentakushi ga, gakuen love comedy wo zenryoku de jama shiteiru ov comedy, romance, school ova"
phi brain: kami no puzzle - orpheus order-he,"action, game, mystery, shounen",tv,"phi brain: kami no puzzle - orpheus order-he action, game, mystery, shounen tv"
phi brain: kami no puzzle - shukuteki! rätsel-he,"action, game, mystery, shounen",tv,"phi brain: kami no puzzle - shukuteki! rätsel-he action, game, mystery, shounen tv"
saint seiya: shinku no shounen densets,"adventure, fantasy, sci-fi, shounen",movie,"saint seiya: shinku no shounen densets adventure, fantasy, sci-fi, shounen movie"
saint seiya: tenkai-hen josou - overtur,"adventure, sci-fi, shounen",movie,"saint seiya: tenkai-hen josou - overtur adventure, sci-fi, shounen movie"
seikai no monshou specia,"action, military, romance, sci-fi, space",special,"seikai no monshou specia action, military, romance, sci-fi, space special"
slayers gorgeou,"adventure, comedy, fantasy, magic, supernatural",movie,"slayers gorgeou adventure, comedy, fantasy, magic, supernatural movie"
slayers retur,"adventure, comedy, fantasy, magic, shounen",movie,"slayers retur adventure, comedy, fantasy, magic, shounen movie"
taiho shichau zo the movi,"action, comedy, drama, police, shounen",movie,"taiho shichau zo the movi action, comedy, drama, police, shounen movie"
taishou yakyuu musume,"comedy, historical, school, seinen, sports",tv,"taishou yakyuu musume comedy, historical, school, seinen, sports tv"
tokyo majin gakuen kenpucho: tou dai ni mak,"action, drama, fantasy, horror, martial arts, mystery, school",tv,"tokyo majin gakuen kenpucho: tou dai ni mak action, drama, fantasy, horror, martial arts, mystery, school tv"
yes! precure 5 movie: kagami no kuni no miracle daibouken,"fantasy, music, romance, shoujo",movie,"yes! precure 5 movie: kagami no kuni no miracle daibouken fantasy, music, romance, shoujo movie"
zero no tsukaima: princesses no rondo - yuuwaku no sunaham,"comedy, ecchi, fantasy, harem, magic",special,"zero no tsukaima: princesses no rondo - yuuwaku no sunaham comedy, ecchi, fantasy, harem, magic special"
07-ghos,"action, demons, fantasy, magic, military, shoujo",tv,"07-ghos action, demons, fantasy, magic, military, shoujo tv"
aa! megami-sama,"comedy, magic, romance, seinen, supernatural",ova,"aa! megami-sama comedy, magic, romance, seinen, supernatural ova"
afro samura,"action, adventure, samurai",tv,"afro samura action, adventure, samurai tv"
allison to lilli,"action, adventure, shounen",tv,"allison to lilli action, adventure, shounen tv"
aoyama goushou tanpenshu,"adventure, comedy, mystery, police, shounen",special,"aoyama goushou tanpenshu adventure, comedy, mystery, police, shounen special"
chibi maruko-chan movi,"comedy, school, shoujo",movie,"chibi maruko-chan movi comedy, school, shoujo movie"
denpa onna to seishun otoko specia,"comedy, sci-fi, seinen",special,"denpa onna to seishun otoko specia comedy, sci-fi, seinen special"
doraemon movie 22: nobita to tsubasa no yuusha-tach,"adventure, fantasy, kids, shounen",movie,"doraemon movie 22: nobita to tsubasa no yuusha-tach adventure, fantasy, kids, shounen movie"
doraemon movie 24: nobita to fushigi kaze tsuka,"adventure, comedy, fantasy, kids",movie,"doraemon movie 24: nobita to fushigi kaze tsuka adventure, comedy, fantasy, kids movie"
ginga e kickoff!,"shounen, sports",tv,"ginga e kickoff! shounen, sports tv"
grappler baki (tv,"shounen, sports",tv,"grappler baki (tv shounen, sports tv"
hamatora the animatio,"comedy, mystery, super power",tv,"hamatora the animatio comedy, mystery, super power tv"
heavy objec,"action, mecha, military, sci-fi",tv,"heavy objec action, mecha, military, sci-fi tv"
igpx: immortal grand prix (2005) 2nd seaso,"mecha, sci-fi, shounen, sports",tv,"igpx: immortal grand prix (2005) 2nd seaso mecha, sci-fi, shounen, sports tv"
jyu oh se,"action, adventure, drama, mystery, sci-fi, shoujo",tv,"jyu oh se action, adventure, drama, mystery, sci-fi, shoujo tv"
kaichou wa maid-sama!: goshujinsama to asonjao,"comedy, school, shoujo",special,"kaichou wa maid-sama!: goshujinsama to asonjao comedy, school, shoujo special"
kimi ga nozomu eie,"drama, romance, slice of life",tv,"kimi ga nozomu eie drama, romance, slice of life tv"
kiniro mosai,"comedy, school, slice of life",tv,"kiniro mosai comedy, school, slice of life tv"
konjiki no gash bell!!: 101 banme no mamon,"adventure, shounen, supernatural",movie,"konjiki no gash bell!!: 101 banme no mamon adventure, shounen, supernatural movie"
maria-sama ga miteru 4th special,comedy,special,maria-sama ga miteru 4th special comedy special
masuda kousuke gekijou gag manga biyori ,comedy,tv,masuda kousuke gekijou gag manga biyori  comedy tv
minami-ke okawar,"comedy, school, slice of life",tv,"minami-ke okawar comedy, school, slice of life tv"
mobile suit gundam 00 the movie: a wakening of the trailblaze,"action, mecha, sci-fi, space",movie,"mobile suit gundam 00 the movie: a wakening of the trailblaze action, mecha, sci-fi, space movie"
myself; yoursel,"drama, romance, school",tv,"myself; yoursel drama, romance, school tv"
noi,"action, drama, mystery",tv,"noi action, drama, mystery tv"
one piece: episode of alabasta - prologu,"action, adventure, fantasy, shounen",ova,"one piece: episode of alabasta - prologu action, adventure, fantasy, shounen ova"
petshop of horror,"horror, josei, mystery, supernatural",tv,"petshop of horror horror, josei, mystery, supernatural tv"
plastic neesa,"comedy, school",ona,"plastic neesa comedy, school ona"
potemay,"comedy, school, seinen",tv,"potemay comedy, school, seinen tv"
precure all stars movie dx: minna tomodachi☆kiseki no zenin daishuugou,"action, fantasy, magic, shoujo",movie,"precure all stars movie dx: minna tomodachi☆kiseki no zenin daishuugou action, fantasy, magic, shoujo movie"
rail of the star: a true story of childre,"drama, historical",movie,"rail of the star: a true story of childre drama, historical movie"
saiunkoku monogatari soushuuhe,"adventure, comedy, drama, fantasy, historical, romance",special,"saiunkoku monogatari soushuuhe adventure, comedy, drama, fantasy, historical, romance special"
selector infected wixos,"game, psychological",tv,"selector infected wixos game, psychological tv"
slayers grea,"adventure, comedy, fantasy, magic, shounen",movie,"slayers grea adventure, comedy, fantasy, magic, shounen movie"
souten kour,"action, adventure, historical",tv,"souten kour action, adventure, historical tv"
tabisuru nuigurumi: traveling dar,"kids, slice of life",ova,"tabisuru nuigurumi: traveling dar kids, slice of life ova"
tenchi muyou! ryououki 3rd seaso,"action, comedy, harem, sci-fi, shounen, space",ova,"tenchi muyou! ryououki 3rd seaso action, comedy, harem, sci-fi, shounen, space ova"
"the idolm@ster cinderella girls: anytime, anywhere with cinderella","comedy, drama, music",special,"the idolm@ster cinderella girls: anytime, anywhere with cinderella comedy, drama, music special"
baka to test to shoukanjuu: spinout! sore ga bokura no nichijo,"comedy, romance, school, super power",special,"baka to test to shoukanjuu: spinout! sore ga bokura no nichijo comedy, romance, school, super power special"
canaa,"action, seinen",tv,"canaa action, seinen tv"
cardfight!! vanguard: link joker-he,"action, adventure, demons, game, shounen",tv,"cardfight!! vanguard: link joker-he action, adventure, demons, game, shounen tv"
choujigen game neptune the animation ov,"action, comedy, fantasy, sci-fi",ova,"choujigen game neptune the animation ov action, comedy, fantasy, sci-fi ova"
crayon shin-chan movie 22: gachinko! gyakushuu no robo to-cha,"comedy, kids, shounen",movie,"crayon shin-chan movie 22: gachinko! gyakushuu no robo to-cha comedy, kids, shounen movie"
digimon adventure 02: diablomon no gyakushu,"adventure, comedy, drama, kids, sci-fi",movie,"digimon adventure 02: diablomon no gyakushu adventure, comedy, drama, kids, sci-fi movie"
dimension w: w no tobira onlin,"sci-fi, seinen",special,"dimension w: w no tobira onlin sci-fi, seinen special"
doraemon movie 01: nobita no kyouryu,"adventure, comedy",movie,"doraemon movie 01: nobita no kyouryu adventure, comedy movie"
dragon ball supe,"action, adventure, comedy, fantasy, martial arts, shounen, super power",tv,"dragon ball supe action, adventure, comedy, fantasy, martial arts, shounen, super power tv"
dragon ball: episode of bardoc,"action, adventure, comedy, fantasy, martial arts, sci-fi, shounen, super power",special,"dragon ball: episode of bardoc action, adventure, comedy, fantasy, martial arts, sci-fi, shounen, super power special"
harukanaru toki no naka de: maihitoy,"drama, fantasy, historical, magic, romance, shoujo, supernatural",movie,"harukanaru toki no naka de: maihitoy drama, fantasy, historical, magic, romance, shoujo, supernatural movie"
ihatov gensou: kenji no har,"drama, historical, slice of life",movie,"ihatov gensou: kenji no har drama, historical, slice of life movie"
inukami,"comedy, ecchi, romance, shounen, supernatural",tv,"inukami comedy, ecchi, romance, shounen, supernatural tv"
irregular hunter x: the day of sigm,"action, mecha, sci-fi, shounen",ova,"irregular hunter x: the day of sigm action, mecha, sci-fi, shounen ova"
mahoutsukai ni taisetsu na koto: natsu no sor,"drama, magic, shounen, slice of life",tv,"mahoutsukai ni taisetsu na koto: natsu no sor drama, magic, shounen, slice of life tv"
mai-otom,"comedy, drama, fantasy, magic",tv,"mai-otom comedy, drama, fantasy, magic tv"
masuda kousuke gekijou gag manga biyor,"comedy, parody",tv,"masuda kousuke gekijou gag manga biyor comedy, parody tv"
mondaiji-tachi ga isekai kara kuru sou desu yo?: onsen manyuuk,"fantasy, supernatural",ova,"mondaiji-tachi ga isekai kara kuru sou desu yo?: onsen manyuuk fantasy, supernatural ova"
musashi no ke,"shounen, sports",tv,"musashi no ke shounen, sports tv"
natsu no arashi,"comedy, romance, supernatural",tv,"natsu no arashi comedy, romance, supernatural tv"
nazo no kanojo ,"ecchi, romance, school, seinen",tv,"nazo no kanojo  ecchi, romance, school, seinen tv"
nogizaka haruka no himitsu: final,"comedy, romance",ova,"nogizaka haruka no himitsu: final comedy, romance ova"
onegai my melody: kuru kuru shuffle,"comedy, fantasy, magic",tv,"onegai my melody: kuru kuru shuffle comedy, fantasy, magic tv"
pokemon advanced generation: mew to hadou no yuusha lucari,"action, adventure, drama, fantasy, kids",movie,"pokemon advanced generation: mew to hadou no yuusha lucari action, adventure, drama, fantasy, kids movie"
ramayana: the legend of prince ram,adventure,movie,ramayana: the legend of prince ram adventure movie
rockman.exe movie: hikari to yami no progra,"action, adventure, game, kids",movie,"rockman.exe movie: hikari to yami no progra action, adventure, game, kids movie"
seitokai no ichizon lv.2: watasu seitoka,"comedy, harem, parody, school",ova,"seitokai no ichizon lv.2: watasu seitoka comedy, harem, parody, school ova"
sekire,"action, comedy, ecchi, harem, super power",tv,"sekire action, comedy, ecchi, harem, super power tv"
sekirei: pure engagement - kanwa ni da,"comedy, ecchi, harem",special,"sekirei: pure engagement - kanwa ni da comedy, ecchi, harem special"
senjou no valkyria 3: tagatame no juuso,"action, fantasy, military",ova,"senjou no valkyria 3: tagatame no juuso action, fantasy, military ova"
tetsuwan birdy decode: the ciphe,"action, comedy, sci-fi",ova,"tetsuwan birdy decode: the ciphe action, comedy, sci-fi ova"
the sky crawler,"drama, military",movie,"the sky crawler drama, military movie"
the third: aoi hitomi no shouj,"action, adventure, sci-fi, seinen",tv,"the third: aoi hitomi no shouj action, adventure, sci-fi, seinen tv"
vampire knigh,"drama, mystery, romance, shoujo, supernatural, vampire",tv,"vampire knigh drama, mystery, romance, shoujo, supernatural, vampire tv"
witchblad,"action, sci-fi, super power",tv,"witchblad action, sci-fi, super power tv"
wonderful rus,music,music,wonderful rus music music
after war gundam ,"adventure, drama, mecha, sci-fi, space",tv,"after war gundam  adventure, drama, mecha, sci-fi, space tv"
air movi,"drama, romance, supernatural",movie,"air movi drama, romance, supernatural movie"
atashin&#039;ch,"comedy, slice of life",tv,"atashin&#039;ch comedy, slice of life tv"
bishoujo senshi sailor moon: sailor stars - hero clu,"adventure, comedy, drama, fantasy, magic, romance, shoujo",ova,"bishoujo senshi sailor moon: sailor stars - hero clu adventure, comedy, drama, fantasy, magic, romance, shoujo ova"
doraemon movie 17: nobita to ginga expres,fantasy,movie,doraemon movie 17: nobita to ginga expres fantasy movie
doraemon: 2112-nen doraemon tanjo,"comedy, fantasy, kids",movie,"doraemon: 2112-nen doraemon tanjo comedy, fantasy, kids movie"
doraemon: doraemon comes bac,"comedy, fantasy, kids, sci-fi, shounen",special,"doraemon: doraemon comes bac comedy, fantasy, kids, sci-fi, shounen special"
druaga no tou: the sword of uru,"adventure, fantasy",tv,"druaga no tou: the sword of uru adventure, fantasy tv"
fate/kaleid liner prisma☆illya 2wei herz,"action, comedy, fantasy, magic, slice of life",tv,"fate/kaleid liner prisma☆illya 2wei herz action, comedy, fantasy, magic, slice of life tv"
fullmetal alchemist: reflection,"adventure, comedy, drama, fantasy, military, shounen",special,"fullmetal alchemist: reflection adventure, comedy, drama, fantasy, military, shounen special"
genius part,"action, dementia, fantasy, mecha, music, psychological, romance, sci-fi",movie,"genius part action, dementia, fantasy, mecha, music, psychological, romance, sci-fi movie"
genius party beyon,"dementia, fantasy, music, sci-fi",movie,"genius party beyon dementia, fantasy, music, sci-fi movie"
gosenzo-sama banbanzai,"comedy, sci-fi",ova,"gosenzo-sama banbanzai comedy, sci-fi ova"
h,"comedy, romance, shounen, sports",tv,"h comedy, romance, shounen, sports tv"
haha wo tazunete sanzenr,"adventure, drama, historical, slice of life",tv,"haha wo tazunete sanzenr adventure, drama, historical, slice of life tv"
haikara-san ga toor,"drama, historical, romance, shoujo, slice of life",tv,"haikara-san ga toor drama, historical, romance, shoujo, slice of life tv"
hunter x hunter movie: phantom roug,"action, adventure, shounen, super power",movie,"hunter x hunter movie: phantom roug action, adventure, shounen, super power movie"
kaidan restauran,"horror, kids, mystery, supernatural",tv,"kaidan restauran horror, kids, mystery, supernatural tv"
koutetsujou no kabaner,"action, drama, fantasy, horror",tv,"koutetsujou no kabaner action, drama, fantasy, horror tv"
kuroshitsuji picture dram,"demons, supernatural",special,"kuroshitsuji picture dram demons, supernatural special"
